U235,UO2,Gd2O3,Boron,Water,Pitch,Kmax,Kmin
0.013895621,10.38205,0.046954251,0.000978155,0.771405705,1.728847879,0.38813,0.38779
0.010132501,10.3758233,0.070501585,0.000364446,0.452510145,2.465633353,0.38938,0.38902
0.007266175,10.18025768,0.068843356,0.000836515,0.440300582,1.365221449,0.39227,0.39197
0.025543366,10.51943756,0.083209198,0.000804244,0.858407919,2.315006041,0.39328,0.39288
0.008561265,10.47086524,0.027725489,0.000894121,0.701021548,1.412958642,0.39358,0.39326
0.009313134,10.04402216,0.05161603,0.00061827,0.023757508,1.297048841,0.39393,0.39365
0.010372107,10.73917646,0.052022132,0.000856039,0.014091466,1.292794993,0.39603,0.39575
0.007590241,10.21221338,0.065033644,0.000198298,0.729283819,1.923412764,0.39627,0.39595
0.027212111,10.87070875,0.058942542,0.000685919,0.943358756,2.426157937,0.39712,0.3967
0.01604561,10.04751129,0.076249102,0.00083777,0.544930284,2.167250719,0.39714,0.39676
0.013660319,10.32105691,0.072995477,0.000483037,0.759020029,2.127674409,0.39723,0.39687
0.019892822,10.07620013,0.01945483,0.000633614,0.966811324,2.109904012,0.39819,0.39783
0.020019204,10.93704306,0.064847003,0.000568796,0.963376806,2.248675032,0.39853,0.39813
0.009761623,10.56219403,0.055419342,0.000996209,0.588155097,1.520145029,0.39998,0.39966
0.010783777,10.84966326,0.031850818,0.000692734,0.003623327,1.898713957,0.40094,0.40066
0.01263466,10.12038372,0.07989526,0.000420278,0.661376562,2.201515121,0.40332,0.40296
0.015441523,10.37138636,0.016146064,0.000858084,0.658989587,1.995047355,0.40421,0.40389
0.010727761,10.80002961,0.016272207,0.000796727,0.908992125,1.530927224,0.40457,0.40421
0.0101354,10.6254343,0.015938559,0.00093753,0.48976326,1.746211622,0.40483,0.40449
0.008011177,10.03942925,0.060339134,0.000625078,0.243738784,1.982212089,0.40572,0.40544
0.025535955,10.95474221,0.068255705,0.000981883,0.972296596,2.038447674,0.4067,0.40632
0.018210346,10.64573027,0.042575893,0.000575387,0.908177497,2.149063261,0.40768,0.40728
0.020868663,10.13416387,0.02008154,0.000724526,0.806173819,2.193503011,0.40838,0.40802
0.01237743,10.37957882,0.080241254,0.000463148,0.505179881,2.354175118,0.4092,0.40886
0.007252529,10.36254793,0.039400602,7.81E-05,0.937331684,1.992937247,0.41068,0.41034
0.010738884,10.19208011,0.022313187,0.000145314,0.954745977,2.28661469,0.41149,0.41111
0.007265558,10.50718498,0.088707503,0.000435596,0.711530749,1.40838456,0.41178,0.41144
0.007428719,10.58198832,0.052851404,0.000678174,0.251370431,1.773014556,0.41192,0.41156
0.018690956,10.63300175,0.084917062,0.000652071,0.734724825,2.246600941,0.41219,0.41181
0.007143281,10.96538378,0.065720552,0.000227999,0.745294157,1.743378755,0.41331,0.41299
0.007177191,10.21401433,0.028718996,0.000121419,0.062988503,1.369898824,0.41382,0.4135
0.035061227,10.32004828,0.077860566,0.000879314,0.920479653,2.372833086,0.41471,0.41427
0.031460879,10.29312417,0.097721665,0.00091427,0.889874672,2.269178992,0.41496,0.41454
0.018358329,10.27434138,0.080647254,0.000738303,0.868201865,1.953852773,0.41532,0.41494
0.013155327,10.15100681,0.038664012,0.00039919,0.872971671,2.005451389,0.41764,0.41728
0.007109913,10.89681009,0.069212227,0.00010883,0.117755076,1.413939719,0.41992,0.41956
0.019693535,10.11725734,0.072551164,0.000706508,0.835121238,2.053204027,0.41999,0.41961
0.03271324,10.23880286,0.090682968,0.000905078,0.889042086,2.292800813,0.42008,0.41964
0.017149378,10.7535918,0.063424002,0.000635142,0.713146206,2.186265404,0.4207,0.42032
0.010942527,10.21505496,0.079073715,0.000871007,0.020810781,1.505274804,0.4208,0.4205
0.007489742,10.46958572,0.037570928,0.000512985,0.970201521,1.267673422,0.42119,0.42083
0.007647218,10.7707062,0.069759629,0.000808105,0.088065508,1.690936825,0.42173,0.42143
0.024361398,10.20144901,0.084076177,0.000898553,0.716127664,2.21431547,0.4228,0.4224
